s,n,i,m
CMPR,Cimpress,Advertising Agencies,1520925606
CMPS,COMPASS Pathways,Medical Care Facilities,450742396
CMPX,Compass Therapeutics,Biotechnology,369400440
CMRA,Comera Life Sciences Holdings,Biotechnology,12936958
CMRE,Costamare,Marine Shipping,1234717380
CMRX,Chimerix,Biotechnology,102756976
CMS,CMS Energy,Utilities - Regulated Electric,17295200800
CMT,Core Molding Technologies,Specialty Chemicals,199185417
CMTG,Claros Mortgage Trust,REIT - Mortgage,1538741120
CMTL,Comtech Telecommunications,Communication Equipment,254563712
CNA,CNA Financial,Insurance - Property & Casualty,10536221222
CNC,Centene,Healthcare Plans,36493140096
CNDA,Concord Acquisition Corp II,Shell Companies,359225182
CNDB,Concord Acquisition Corp III,Shell Companies,131714950
CNDT,Conduent,Information Technology Services,773288248
CNET,ZW Data Action Technologies,Advertising Agencies,8933592
CNEY,CN Energy Group.,Specialty Chemicals,10087493
CNF,CNFinance Holdings,Mortgage Finance,213290642
CNFR,Conifer Holdings,Insurance - Property & Casualty,20077336
CNGL,Canna-Global Acquisition,Shell Companies,96236189
CNHI,CNH Industrial,Farm & Heavy Construction Machinery,19162414111
CNI,Canadian National Railway Company,Railroads,76560192000
CNK,Cinemark Holdings,Entertainment,1900279770
CNM,Core & Main,Industrial Distribution,7156064103
CNMD,CONMED,Medical Devices,4025238245
CNNE,Cannae Holdings,Restaurants,1541269470
CNO,CNO Financial Group,Insurance - Life,2724094120
CNOB,ConnectOne Bancorp,Banks - Regional,636660375
CNP,CenterPoint Energy,Utilities - Regulated Electric,18602734684
CNQ,Canadian Natural Resources,Oil & Gas E&P,60951591813
CNS,Cohen & Steers,Asset Management,2856170995
CNSL,Consolidated Communications Holdings,Telecom Services,440933220
CNSP,CNS Pharmaceuticals,Biotechnology,9198215
CNTA,Centessa Pharmaceuticals,Biotechnology,588018720
CNTB,Connect Biopharma Holdings,Biotechnology,62746968
CNTG,Centogene,Diagnostics & Research,37897488
CNTX,Context Therapeutics,Biotechnology,25034835
CNTY,Century Casinos,Resorts & Casinos,236308871
CNVS,Cineverse,Entertainment,14400180.000000002
CNX,CNX Resources,Oil & Gas E&P,2920760640
CNXA,Connexa Sports Technologies,Leisure,3694633
CNXC,Concentrix,Information Technology Services,4242656200
CNXN,PC Connection,Electronics & Computer Distribution,1167513768
COCO,The Vita Coco Company,Beverages - Non-Alcoholic,1416837596
COCP,Cocrystal Pharma,Biotechnology,23704954
CODA,Coda Octopus Group,Aerospace & Defense,95499624
CODI,Compass Diversified,Conglomerates,1544717033
CODX,Co-Diagnostics,Medical Devices,35105660
COE,China Online Education Group,Education & Training Services,44940924
COEP,Coeptis Therapeutics,Biotechnology,37668690
COF,Capital One Financial,Credit Services,41250321969
COFS,ChoiceOne Financial Services,Banks - Regional,166907633
COGT,Cogent Biosciences,Biotechnology,1031555712
COHN,Cohen & Company,Capital Markets,7393498
COHR,Coherent,Scientific & Technical Instruments,6914922113
COHU,Cohu,Semiconductor Equipment & Materials,1821468392
COIN,Coinbase Global,Software - Application,18464720797
COKE,Coca-Cola Consolidated,Beverages - Non-Alcoholic,5936264140
COLB,Columbia Banking System,Banks - Regional,4319167054
COLD,Americold Realty Trust,REIT - Industrial,8542585680
COLL,Collegium Pharmaceutical,Drug Manufacturers - Specialty & Generic,752090952
COLM,Columbia Sportswear Company,Apparel Manufacturing,4660459824
COMM,CommScope Holding Company,Communication Equipment,1315383300
COMP,Compass,Software - Application,1501011750
COMS,COMSovereign Holding,Telecom Services,4487466
CONN,Conn's,Specialty Retail,91845344
CONX,CONX Corp.,Shell Companies,278337394
COO,The Cooper Companies,Medical Instruments & Supplies,18732799202
COOK,Traeger,Furnishings,474579130
COOL,Corner Growth Acquisition,Shell Companies,119300313
COOP,Mr. Cooper Group,Mortgage Finance,3352310484
COP,ConocoPhillips,Oil & Gas E&P,124914497103
CORR,CorEnergy Infrastructure Trust,REIT - Diversified,17317367
CORT,Corcept Therapeutics,Biotechnology,2251984260
COSM,Cosmos Health,Drug Manufacturers - Specialty & Generic,32817963
COST,Costco Wholesale,Discount Stores,232674857400
COTY,Coty Inc.,Household & Personal Products,10617322550
COUR,Coursera,Education & Training Services,1945782393
COYA,Coya Therapeutics,Biotechnology,41084910
CP,Canadian Pacific Railway,Railroads,72957783867
CPA,Copa Holdings,Airlines,4332589268
CPAA,Conyers Park III Acquisition,Shell Companies,456067490
CPAC,Cementos Pacasmayo,Building Materials,436669140
CPB,Campbell Soup Company,Packaged Foods,13575109680
CPE,Callon Petroleum Company,Oil & Gas E&P,2078206582
CPF,Central Pacific Financial,Banks - Regional,421285800
CPG,Crescent Point Energy,Oil & Gas E&P,3755337810
CPHC,Canterbury Park Holding,Gambling,112104660
CPHI,China Pharma Holdings,Drug Manufacturers - Specialty & Generic,3356575
CPIX,Cumberland Pharmaceuticals,Drug Manufacturers - Specialty & Generic,21673650
CPK,Chesapeake Utilities,Utilities - Regulated Gas,2099208200
CPLP,Capital Product Partners L.P.,Marine Shipping,281994468
CPNG,Coupang,Internet Retail,30176257020
CPOP,Pop Culture Group,Entertainment,11046165
CPRI,Capri Holdings,Luxury Goods,4116411390
CPRT,Copart,Auto & Truck Dealerships,42067238400
CPRX,Catalyst Pharmaceuticals,Biotechnology,1388518278
CPS,Cooper-Standard Holdings,Auto Parts,242509775
CPSH,CPS Technologies,Electronic Components,40225766
CPSI,Computer Programs and Systems,Health Information Services,358267878
CPSS,Consumer Portfolio Services,Credit Services,231258027
CPT,Camden Property Trust,REIT - Residential,11613570360
CPTK,Crown Proptech Acquisitions,Shell Companies,113850090
CPTN,Cepton,Software - Application,80194337
CPUH,Compute Health Acquisition,Shell Companies,328175562
CQP,Cheniere Energy Partners,Oil & Gas Midstream,22376845220
CR,Crane Company,Specialty Industrial Machinery,4945171534
CRAI,CRA International,Consulting Services,699385957
CRBG,Corebridge Financial,Asset Management,11679573332
CRBP,Corbus Pharmaceuticals Holdings,Biotechnology,34791586
CRBU,Caribou Biosciences,Biotechnology,445500462
CRC,California Resources,Oil & Gas E&P,3200611542
CRCT,Cricut,Computer Hardware,2808259440
CRD.A,Crawford & Company,Insurance Brokers,472350557
CRD.B,Crawford & Company,Insurance Brokers,475575651
CRDF,Cardiff Oncology,Biotechnology,64781940
CRDL,Cardiol Therapeutics,Drug Manufacturers - Specialty & Generic,57365596
CRDO,Credo Technology Group Holding,Communication Equipment,2444895731
CREC,Crescera Capital Acquisition,Shell Companies,295702966
CREG,Smart Powerr,Utilities - Renewable,12694456
CRESY,Cresud S.A.C.I.F. y A.,Conglomerates,931312582
CREX,Creative Realities,Software - Application,22375271
CRGE,Charge Enterprises,Information Technology Services,208592012
CRGO,Freightos,Integrated Freight & Logistics,134055565.80000001
CRGY,Crescent Energy Company,Oil & Gas E&P,1746893272
CRH,CRH plc,Building Materials,38973744835
CRI,Carter's,Apparel Retail,2688690456
CRIS,Curis,Biotechnology,78260502
CRK,Comstock Resources,Oil & Gas E&P,3130312980
CRKN,Crown ElectroKinetics,Specialty Chemicals,7510936
CRL,Charles River Laboratories International,Diagnostics & Research,10589230181
CRM,Salesforce,Software - Application,204140660000
CRMD,CorMedix,Biotechnology,204108308
CRMT,America's Car-Mart,Auto & Truck Dealerships,627200616
CRNC,Cerence,Software - Application,1188312268
CRNT,Ceragon Networks,Communication Equipment,181366054
CRNX,Crinetics Pharmaceuticals,Biotechnology,1009207548
CRON,Cronos Group,Drug Manufacturers - Specialty & Generic,765440160
CROX,Crocs,Footwear & Accessories,6973526965
CRS,Carpenter Technology,Metal Fabrication,2628022326
CRSP,CRISPR Therapeutics AG,Biotechnology,4291701604
CRSR,Corsair Gaming,Computer Hardware,1772782200
CRT,Cross Timbers Royalty Trust,Oil & Gas E&P,129240000
CRTO,Criteo,Advertising Agencies,1873275005
CRUS,Cirrus Logic,Semiconductors,4357460340
CRVL,CorVel,Insurance Brokers,3267436620
CRVS,Corvus Pharmaceuticals,Biotechnology,120612415
CRWD,CrowdStrike Holdings,Software - Infrastructure,34155406680
CRWS,Crown Crafts,Furnishings,50111470
CSAN,Cosan,Oil & Gas Refining & Marketing,7261198231
CSBR,Champions Oncology,Biotechnology,91176232
CSCO,Cisco Systems,Communication Equipment,207787307768
CSGP,CoStar Group,Real Estate Services,35453015114
CSGS,CSG Systems International,Software - Infrastructure,1637039942
CSIQ,Canadian Solar,Solar,2381834940
CSL,Carlisle Companies,Building Products & Equipment,13109886072
CSLM,Consilium Acquisition Corp I,Shell Companies,248810202
CSPI,CSP Inc.,Information Technology Services,54760376
CSR,Centerspace,REIT - Residential,996379994
CSSE,Chicken Soup for the Soul Entertainment,Entertainment,36531931
CSTA,Constellation Acquisition Corp I,Shell Companies,129539393
CSTE,Caesarstone,Building Products & Equipment,176008140
CSTL,Castle Biosciences,Diagnostics & Research,541833390
CSTM,Constellium SE,Aluminum,2451690980
CSTR,CapStar Financial Holdings,Banks - Regional,257136906
CSV,Carriage Services,Personal Services,502685172
CSWC,Capital Southwest,Asset Management,767260989
CSWI,CSW Industrials,Specialty Industrial Machinery,2426475556
CSX,CSX Corporation,Railroads,67700564467
CTAS,Cintas,Specialty Business Services,48841368480
CTBI,Community Trust Bancorp,Banks - Regional,648672059
CTG,Computer Task Group,Information Technology Services,116841480
CTGO,Contango Ore,Gold,180024000
CTHR,Charles & Colvard,Luxury Goods,30133430
CTIB,Yunhong CTI,Specialty Retail,39743882
CTKB,Cytek Biosciences,Medical Devices,1151812898
CTLP,Cantaloupe,Information Technology Services,554772614
CTLT,Catalent,Drug Manufacturers - Specialty & Generic,8054552960
CTM,Castellum,Information Technology Services,22689908
CTMX,CytomX Therapeutics,Biotechnology,118746631
CTO,CTO Realty Growth,REIT - Diversified,394096304
CTOS,Custom Truck One Source,Rental & Leasing Services,1663541360
CTRA,Coterra Energy,Oil & Gas E&P,19118113518
CTRE,CareTrust REIT,REIT - Healthcare Facilities,1939762500
CTRM,Castor Maritime,Marine Shipping,40909406
CTRN,Citi Trends,Apparel Retail,141319300
CTS,CTS Corporation,Electronic Components,1293140000
CTSH,Cognizant Technology Solutions,Information Technology Services,33158546657
CTSO,Cytosorbents,Medical Devices,155158326
CTV,Innovid,Advertising Agencies,146798659
CTVA,Corteva,Agricultural Inputs,40733024275
CTXR,Citius Pharmaceuticals,Biotechnology,190629600
CUBE,CubeSmart,REIT - Industrial,9948697206
CUBI,Customers Bancorp,Banks - Regional,1027500000
CUE,Cue Biopharma,Biotechnology,174871710
CUEN,Cuentas,Software - Application,9212717
CUK,Carnival Corporation,Leisure,22574937047
CULL,Cullman Bancorp,Banks - Regional,78774156
CULP,Culp,Textile Manufacturing,63607320
CURI,CuriosityStream,Broadcasting,51111042
CURO,CURO Group Holdings,Credit Services,57775173
CURV,Torrid Holdings,Apparel Retail,285639750
CUTR,Cutera,Medical Devices,280485660
CUZ,Cousins Properties,REIT - Office,3517783860
CVAC,CureVac,Biotechnology,2323583760
CVBF,CVB Financial,Banks - Regional,1894344000
CVCO,Cavco Industries,Residential Construction,2304740384
CVCY,Central Valley Community Bancorp,Banks - Regional,184899858
CVE,Cenovus Energy,Oil & Gas Integrated,32903324431
CVEO,Civeo,Specialty Business Services,292861324
CVGI,Commercial Vehicle Group,Auto Parts,365077414
CVGW,Calavo Growers,Food Distribution,522858420
CVI,CVR Energy,Oil & Gas Refining & Marketing,3114450380
CVII,Churchill Capital Corp VII,Shell Companies,1780199928
CVKD,Cadrenal Therapeutics,Biotechnology,17701428
CVLG,Covenant Logistics Group,Trucking,586325280
CVLT,Commvault Systems,Software - Application,3180185216
CVLY,Codorus Valley Bancorp,Banks - Regional,189485845
CVM,CEL-SCI,Biotechnology,109998162
CVNA,Carvana Co.,Internet Retail,5230320118
CVR,Chicago Rivet & Machine Co.,Tools & Accessories,24153300
CVRX,CVRx,Medical Devices,282706515
CVS,CVS Health,Healthcare Plans,88678011780
CVU,CPI Aerostructures,Aerospace & Defense,48256512
CVV,CVD Equipment,Specialty Industrial Machinery,50165044
CVX,Chevron,Oil & Gas Integrated,288306576532
CW,Curtiss-Wright,Aerospace & Defense,7088068494
CWAN,Clearwater Analytics Holdings,Software - Application,4475387317
CWBC,Community West Bancshares,Banks - Regional,107877059
CWBR,CohBar,Biotechnology,8110335
CWCO,Consolidated Water,Utilities - Regulated Water,336278320
CWD,CaliberCos,Asset Management,40544144
CWEN,Clearway Energy,Utilities - Renewable,5466014994
CWEN.A,Clearway Energy,Utilities - Renewable,5492556433
CWH,Camping World Holdings,Auto & Truck Dealerships,1265519436
CWK,Cushman & Wakefield,Real Estate Services,1884614600
CWST,Casella Waste Systems,Waste Management,5214829497
CWT,California Water Service Group,Utilities - Regulated Water,2776598649
CX,CEMEX,Building Materials,10278382294
CXAC,C5 Acquisition,Shell Companies,383093750
CXAI,CXApp,Software - Application,121317570
CXDO,Crexendo,Telecom Services,44932598
CXM,Sprinklr,Software - Application,3594311163
CXT,Crane NXT,Specialty Industrial Machinery,3194982912
CXW,CoreCivic,REIT - Specialty,1038824980
CYAN,Cyanotech,Packaged Foods,5284516
CYBN,Cybin,Biotechnology,96454938
CYBR,CyberArk Software,Software - Infrastructure,6500320164
CYCC,Cyclacel Pharmaceuticals,Biotechnology,7272736
CYCN,Cyclerion Therapeutics,Biotechnology,9029250
CYD,China Yuchai International,Specialty Industrial Machinery,429420733
CYH,Community Health Systems,Medical Care Facilities,603080695
CYN,Cyngn,Software - Application,35179872
CYRX,Cryoport,Integrated Freight & Logistics,755596527
CYT,Cyteir Therapeutics,Biotechnology,97660200
CYTH,Cyclo Therapeutics,Drug Manufacturers - Specialty & Generic,23776074
CYTK,Cytokinetics,Biotechnology,3319685226
CYTO,Altamira Therapeutics,Biotechnology,4472914
CZFS,Citizens Financial Services,Banks - Regional,338090139
CZNC,Citizens & Northern,Banks - Regional,297390896
CZOO,Cazoo Group,Auto & Truck Dealerships,45619272
CZR,Caesars Entertainment,Resorts & Casinos,10579428640
CZWI,Citizens Community Bancorp,Banks - Regional,94253857
D,Dominion Energy,Utilities - Regulated Electric,43669557422
DAC,Danaos,Marine Shipping,1362918162
DADA,Dada Nexus,Internet Retail,1409287000
DAIO,Data I/O,Electronic Components,37653202
DAKT,Daktronics,Electronic Components,282491220
DAL,Delta Air Lines,Airlines,30773194583
DALN,DallasNews,Publishing,20767657
DALS,DA32 Life Science Tech Acquisition,Shell Companies,263425500
DAN,Dana Incorporated,Auto Parts,2508455400
DAO,Youdao,Education & Training Services,580079380
DAR,Darling Ingredients,Packaged Foods,10034844680
DARE,Daré Bioscience,Biotechnology,73350708
DASH,DoorDash,Internet Content & Information,30288562865
DATS,DatChat,Software - Application,10397163
DAVA,Endava,Software - Infrastructure,3050402800
DAVE,Dave Inc.,Software - Application,63371606
DAWN,Day One Biopharmaceuticals,Biotechnology,1005629248
DB,Deutsche Bank Aktiengesellschaft,Banks - Regional,20791874109
DBGI,Digital Brands Group,Apparel Retail,3977707
DBI,Designer Brands,Apparel Retail,669243938
DBRG,DigitalBridge Group,REIT - Diversified,2483315777
DBTX,Decibel Therapeutics,Biotechnology,96861104
DBVT,DBV Technologies,Biotechnology,355857372
DBX,Dropbox,Software - Infrastructure,9430519152
DC,Dakota Gold,Gold,206361456
DCBO,Docebo,Software - Application,1227221442
DCFC,Tritium DCFC,Electrical Equipment & Parts,162493760
DCGO,DocGo,Medical Care Facilities,990084243
DCI,Donaldson Company,Specialty Industrial Machinery,7416373140
DCO,Ducommun,Aerospace & Defense,656975065
DCOM,Dime Community Bancshares,Banks - Regional,694690050
DCPH,Deciphera Pharmaceuticals,Drug Manufacturers - Specialty & Generic,1080498496
DCTH,Delcath Systems,Medical Devices,64111899
DD,DuPont de Nemours,Specialty Chemicals,32319386407
DDD,3D Systems,Computer Hardware,1252530250
DDI,DoubleDown Interactive Co.,Electronic Gaming & Multimedia,465801960
DDL,Dingdong (Cayman) Limited,Grocery Stores,644645520
DDOG,Datadog,Software - Application,31550188676
DDS,Dillard's,Department Stores,5287073976
DE,Deere & Company,Farm & Heavy Construction Machinery,118824853760
DEA,Easterly Government Properties,REIT - Office,2619313418
DECA,Denali Capital Acquisition,Shell Companies,115908964
DECK,Deckers Outdoor,Footwear & Accessories,13790923364
DEI,Douglas Emmett,REIT - Office,2749392778
DELL,Dell Technologies,Computer Hardware,38929317255
DEN,Denbury,Oil & Gas E&P,4265014876
DENN,Denny's,Restaurants,680323486
DEO,Diageo,Beverages - Wineries & Distilleries,95143247924
DERM,Journey Medical,Drug Manufacturers - Specialty & Generic,42415776
DESP,Despegar.com,Travel Services,453146904
DFFN,Diffusion Pharmaceuticals,Biotechnology,5895658
DFH,Dream Finders Homes,Residential Construction,2154131757
DFIN,Donnelley Financial Solutions,Capital Markets,1310446652
DFLI,Dragonfly Energy Holdings,Electrical Equipment & Parts,85362845
DFS,Discover Financial Services,Credit Services,29696445240
DG,Dollar General,Discount Stores,37141010175
DGHI,Digihost Technology,Software - Application,56825047
DGICA,Donegal Group,Insurance - Property & Casualty,470735178
DGICB,Donegal Group,Insurance - Property & Casualty,459910427
DGII,Digi International,Communication Equipment,1392134105
DGLY,Digital Ally,Security & Protection Services,11131089
DGX,Quest Diagnostics,Diagnostics & Research,15569251000
DH,Definitive Healthcare,Health Information Services,1175994050
DHAC,Digital Health Acquisition,Shell Companies,48733348
DHC,Diversified Healthcare Trust,REIT - Healthcare Facilities,585092480
DHCA,DHC Acquisition,Shell Companies,127171356
DHI,D.R. Horton,Residential Construction,39356183613
DHIL,Diamond Hill Investment Group,Asset Management,508694700
DHR,Danaher,Diagnostics & Research,171989500785
DHT,DHT Holdings,Oil & Gas Midstream,1409837619
DHX,DHI Group,Staffing & Employment Services,173121325
DIBS,1stdibs.Com,Internet Retail,151320619
DICE,DICE Therapeutics,Biotechnology,2215873760
DIN,Dine Brands Global,Restaurants,901289298
DINO,HF Sinclair,Oil & Gas Refining & Marketing,8799968686
DIOD,Diodes,Semiconductors,4141975058
DIS,The Walt Disney Company,Entertainment,161971869164
DISA,Disruptive Acquisition Corporation I,Shell Companies,88072856
DISH,DISH Network,Telecom Services,3881717855
DIST,Distoken Acquisition,Shell Companies,56690396.55
DIT,AMCON Distributing Company,Food Distribution,122815341
DJCO,Daily Journal,Software - Application,397410858
DK,Delek US Holdings,Oil & Gas Refining & Marketing,1595000529
DKDCA,Data Knights Acquisition,Shell Companies,82895223
DKL,Delek Logistics Partners,Oil & Gas Midstream,2266340951
DKNG,DraftKings,Gambling,12308728474
DKS,DICK'S Sporting Goods,Specialty Retail,11267045943
DLA,Delta Apparel,Apparel Manufacturing,70080210
DLB,Dolby Laboratories,Information Technology Services,8201108292
DLHC,DLH Holdings,Specialty Business Services,132025885
DLNG,Dynagas LNG Partners LP,Oil & Gas Midstream,93845610
DLO,DLocal,Software - Infrastructure,3546117817
DLPN,Dolphin Entertainment,Entertainment,27477660
DLR,Digital Realty Trust,REIT - Office,33155289510
DLTH,Duluth Holdings,Apparel Retail,214956974
DLTR,Dollar Tree,Discount Stores,31634061752
DLX,Deluxe,Advertising Agencies,774467892
DM,Desktop Metal,Computer Hardware,556290164
DMAC,DiaMedica Therapeutics,Biotechnology,163506864
DMAQ,Deep Medicine Acquisition,Shell Companies,53515556
DMLP,Dorchester Minerals,Oil & Gas E&P,1171098180
DMRC,Digimarc,Information Technology Services,608893160
DMS,Digital Media Solutions,Advertising Agencies,12813120
DMTK,DermTech,Diagnostics & Research,92958801
DMYY,dMY Squared Technology Group,Shell Companies,66159930
DNA,Ginkgo Bioworks Holdings,Biotechnology,3711283047
DNB,Dun & Bradstreet Holdings,Financial Data & Stock Exchanges,5091939103
DNLI,Denali Therapeutics,Biotechnology,4008109686
DNMR,Danimer Scientific,Specialty Chemicals,246689960
DNN,Denison Mines,Uranium,1019613770
DNOW,NOW Inc.,Oil & Gas Equipment & Services,1130704610
DNUT,Krispy Kreme,Grocery Stores,2442264000
DO,Diamond Offshore Drilling,Oil & Gas Drilling,1589293440
DOC,Physicians Realty Trust,REIT - Healthcare Facilities,3445584927
DOCN,DigitalOcean Holdings,Software - Infrastructure,4096920440
DOCS,Doximity,Health Information Services,6314735861
DOCU,DocuSign,Software - Application,10057839098
DOGZ,Dogness (International),Leisure,29286432
DOLE,Dole plc,Farm Products,1223250688
DOMA,Doma Holdings,Real Estate Services,80734350
DOMH,Dominari Holdings,Biotechnology,12721447
DOMO,Domo,Software - Application,464390417
DOOO,BRP Inc.,Recreational Vehicles,6395172145
DOOR,Masonite International,Building Products & Equipment,2125674625
DORM,Dorman Products,Auto Parts,2520965402
DOUG,Douglas Elliman,Real Estate Services,186128678
DOV,Dover,Specialty Industrial Machinery,20432232269
DOW,Dow Inc.,Chemicals,37558426925
DOX,Amdocs,Software - Infrastructure,11666072880
DOYU,DouYu International Holdings,Internet Content & Information,342161381
DPCS,DP Cap Acquisition Corp I,Shell Companies,301587479
DPRO,Draganfly,Aerospace & Defense,52209080
DPSI,Decisionpoint Systems,Software - Application,42723878
DPZ,Domino's Pizza,Restaurants,12074629520
DQ,Daqo New Energy,Semiconductor Equipment & Materials,3031148946
DRCT,Direct Digital Holdings,Advertising Agencies,40129966
DRD,DRDGOLD,Gold,877045148
DRH,DiamondRock Hospitality Company,REIT - Hotel & Motel,1705584505
DRI,Darden Restaurants,Restaurants,19765845050
DRIO,DarioHealth,Diagnostics & Research,100436553
DRMA,Dermata Therapeutics,Biotechnology,4974887
DRQ,Dril-Quip,Oil & Gas Equipment & Services,845437546
DRRX,DURECT,Drug Manufacturers - Specialty & Generic,122938796
DRS,Leonardo DRS,Aerospace & Defense,4343040000
DRTS,Alpha Tau Medical,Biotechnology,304255600
DRTT,DIRTT Environmental Solutions,Engineering & Construction,25080760
DRUG,Bright Minds Biosciences,Biotechnology,11294069
DRVN,Driven Brands Holdings,Auto & Truck Dealerships,4473852000
DSAQ,Direct Selling Acquisition,Shell Companies,121177882
DSGN,Design Therapeutics,Biotechnology,353016736
DSGR,Distribution Solutions Group,Industrial Distribution,1180753873
DSGX,The Descartes Systems Group,Software - Application,6616516060
DSKE,Daseke,Trucking,331363060
DSP,Viant Technology,Software - Application,275310320
DSS,DSS,Packaging & Containers,52851475
DSWL,Deswell Industries,Electronic Components,42148604
DSX,Diana Shipping,Marine Shipping,403396230
DT,Dynatrace,Software - Application,14880512640
DTC,Solo Brands,Internet Retail,345193838
DTE,DTE Energy Company,Utilities - Regulated Electric,22669928030
DTI,Drilling Tools International,Shell Companies,136671600
DTIL,Precision BioSciences,Biotechnology,66671319
DTM,DT Midstream,Oil & Gas Midstream,4872608158
DTOC,Digital Transformation Opportunities,Shell Companies,104331072
DTSS,Datasea,Software - Infrastructure,25694736
DTST,Data Storage,Information Technology Services,17737538
DUET,DUET Acquisition,Shell Companies,80153135
DUK,Duke Energy,Utilities - Regulated Electric,69181432913
DUNE,Dune Acquisition,Shell Companies,54780654
DUO,Fangdd Network Group,Real Estate Services,50488927
DUOL,Duolingo,Software - Application,5552377405
DUOT,Duos Technologies Group,Software - Application,42936440
DV,DoubleVerify Holdings,Software - Application,6393773600
DVA,DaVita,Medical Care Facilities,9422823000
DVAX,Dynavax Technologies,Drug Manufacturers - Specialty & Generic,1623886080
DVN,Devon Energy,Oil & Gas E&P,31347043437
DWAC,Digital World Acquisition,Shell Companies,506437600
DWSN,Dawson Geophysical Company,Oil & Gas Equipment & Services,46548617
DX,Dynex Capital,REIT - Mortgage,665054915
DXC,DXC Technology Company,Information Technology Services,5735771398
DXCM,DexCom,Medical Devices,49117357560
DXF,Dunxin Financial Holdings,Credit Services,3324556
DXLG,Destination XL Group,Apparel Retail,306780916
DXPE,DXP Enterprises,Industrial Distribution,640950475
DXR,Daxor,Medical Instruments & Supplies,46054407
DXYN,The Dixie Group,Textile Manufacturing,19864320
DY,Dycom Industries,Engineering & Construction,3307296056
DYAI,Dyadic International,Biotechnology,55317312
DYN,Dyne Therapeutics,Biotechnology,640834593
DYNT,Dynatronics,Medical Devices,3122204
DZSI,DZS Inc.,Communication Equipment,121523220
E,Eni S.p.A.,Oil & Gas Integrated,47408132074
EA,Electronic Arts,Electronic Gaming & Multimedia,35157515366
EAC,Edify Acquisition,Shell Companies,90943319
EAF,GrafTech International,Electrical Equipment & Parts,1162882746
EAR,Eargo,Medical Devices,91471338
EARN,Ellington Residential Mortgage REIT,REIT - Mortgage,95844672
EAST,Eastside Distilling,Beverages - Wineries & Distilleries,2723939
EAT,Brinker International,Restaurants,1609745712
EB,Eventbrite,Software - Application,921938244
EBAY,eBay Inc.,Internet Retail,23667459266
EBC,Eastern Bankshares,Banks - Regional,2177650800
EBET,EBET,Gambling,4095918
EBF,Ennis,Business Equipment & Supplies,518869710
EBIX,Ebix,Software - Application,760483454
EBMT,Eagle Bancorp Montana,Banks - Regional,103197727
EBON,Ebang International Holdings,Computer Hardware,48817792
EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,Utilities - Regulated Electric,18756722220
EBS,Emergent BioSolutions,Drug Manufacturers - Specialty & Generic,355153216
EBTC,Enterprise Bancorp,Banks - Regional,351624063
EC,Ecopetrol,Oil & Gas Integrated,21277840666
ECBK,ECB Bancorp,Banks - Regional,120104023
ECC,Eagle Point Credit Company,Asset Management,621790625
ECL,Ecolab,Specialty Chemicals,52217829933
ECOR,electroCore,Medical Devices,26043536
ECPG,Encore Capital Group,Mortgage Finance,1166111154
ECVT,Ecovyst,Specialty Chemicals,1354437260
ECX,ECARX Holdings,Auto Parts,1744332155
ED,Consolidated Edison,Utilities - Regulated Electric,31892076200
EDAP,EDAP TMS,Medical Devices,335670066
EDBL,Edible Garden AG,Farm Products,3451871
EDIT,Editas Medicine,Biotechnology,685631978
EDN,Empresa Distribuidora y Comercializadora Norte,Utilities - Regulated Electric,1293062863
EDR,Endeavor Group Holdings,Entertainment,6953373955
EDRY,EuroDry,Marine Shipping,39790218
EDSA,Edesa Biotech,Biotechnology,17293668
EDTK,Skillful Craftsman Education Technology,Education & Training Services,19072000
EDTX,EdtechX Holdings Acquisition Corp. II,Shell Companies,57482208
EDU,New Oriental Education & Technology Group,Education & Training Services,7137396000
EDUC,Educational Development,Publishing,10290108
EE,Excelerate Energy,Utilities - Renewable,2254306341
EEFT,Euronet Worldwide,Software - Infrastructure,5796410240
EEIQ,Elite Education Group International,Education & Training Services,15786096
EEX,Emerald Holding,Advertising Agencies,258398988
EFC,Ellington Financial,REIT - Mortgage,898623492
EFHT,EF Hutton Acquisition Corporation I Common Stock,Shell Companies,151007390
EFOI,Energy Focus,Furnishings,5332960
EFSC,Enterprise Financial Services,Banks - Regional,1479436660
EFSH,1847 Holdings LLC,Conglomerates,1545511
EFTR,eFFECTOR Therapeutics,Biotechnology,50956620
EFX,Equifax,Consulting Services,27669712840
EFXT,Enerflex,Oil & Gas Equipment & Services,876072120
EGAN,eGain,Software - Application,224515696
EGBN,Eagle Bancorp,Banks - Regional,656102304
EGGF,EG Acquisition,Shell Companies,101909282
EGHT,8x8,Software - Application,485237880
EGIO,Edgio,Software - Infrastructure,140747027
EGLE,Eagle Bulk Shipping,Marine Shipping,460661050
EGLX,Enthusiast Gaming Holdings,Internet Content & Information,72848164
EGO,Eldorado Gold,Gold,2016199700
EGP,EastGroup Properties,REIT - Industrial,7705273800
EGRX,Eagle Pharmaceuticals,Drug Manufacturers - Specialty & Generic,252662090
EGY,VAALCO Energy,Oil & Gas E&P,414279240
EH,EHang Holdings,Aerospace & Defense,942725364
EHAB,Enhabit,Medical Care Facilities,602700594
EHC,Encompass Health,Medical Care Facilities,6588512280
EHTH,eHealth,Insurance Brokers,210453653
EIC,Eagle Point Income Company,null,109063590
EIG,Employers Holdings,Insurance - Specialty,984491152
EIGR,Eiger BioPharmaceuticals,Biotechnology,32035156
